Nome,qnt Veiculos ,Total Capacidade,Total Distancia,qnt Interacao,Tempo
A-n32-k5.vrp,5,410,782,0,0
A-n33-k5.vrp,5,446,650,0,0
A-n33-k6.vrp,6,541,787,0,0
A-n34-k5.vrp,5,460,774,0,0
A-n36-k5.vrp,5,442,797,0,0
A-n37-k5.vrp,5,407,659,0,0
A-n37-k6.vrp,6,570,998,0,0
A-n38-k5.vrp,5,481,733,0,0
A-n39-k5.vrp,5,475,861,0,0
A-n39-k6.vrp,6,526,857,0,0
A-n44-k7.vrp,6,570,995,0,0
A-n45-k7.vrp,7,634,1148,0,0
A-n46-k7.vrp,7,603,1012,0,0
A-n48-k7.vrp,7,626,1127,0,0
A-n53-k7.vrp,7,664,1058,0,0
A-n54-k7.vrp,7,669,1218,0,0
A-n55-k9.vrp,9,839,1132,0,0
A-n60-k9.vrp,9,829,1494,0,0
A-n61-k9.vrp,9,885,1189,0,0
A-n62-k8.vrp,8,733,1491,0,0
A-n63-k10.vrp,10,932,1400,0,0
A-n63-k9.vrp,9,873,1799,0,0
A-n64-k9.vrp,9,848,1462,0,0
A-n65-k9.vrp,9,877,1246,0,0
A-n69-k9.vrp,9,845,1203,0,0
E-n22-k4.vrp,4,22500,367,0,0
